D_Predict,DTA,Nightly_Price
10,144,549
11,144,591
12,144,719
13,144,549
14,144,795
15,144,"1,256"
16,144,"1,195"
17,144,"1,016"
18,144,634
19,144,634
20,144,634
21,144,895
22,144,895
23,144,745
24,144,0
25,144,0
26,144,0
27,144,634
28,144,719
29,144,761
30,144,634
1,147,902
2,147,902
3,147,795
4,147,645
5,147,645
6,147,645
7,147,845
8,147,945
9,147,595
10,147,549
11,147,591
12,147,719
13,147,549
14,147,795
15,147,"1,256"
16,147,"1,195"
17,147,"1,016"
18,147,634
19,147,634
20,147,634
21,147,895
22,147,895
23,147,745
24,147,0
25,147,0
26,147,0
27,147,634
28,147,719
29,147,761
30,147,634
1,150,902
2,150,902
3,150,795
4,150,645
5,150,645
6,150,645
7,150,845
8,150,945
9,150,595
10,150,549
11,150,591
12,150,719
13,150,549
14,150,795
15,150,"1,256"
16,150,"1,195"
17,150,"1,016"
18,150,634
19,150,634
20,150,634
21,150,895
22,150,895
23,150,745
24,150,0
25,150,0
26,150,0
27,150,634
28,150,719
29,150,761
30,150,634
1,153,902
2,153,902
3,153,795
4,153,645
5,153,645
6,153,645
7,153,845
8,153,945
9,153,595
10,153,549
11,153,591
12,153,719
13,153,549
14,153,795
15,153,"1,256"
16,153,"1,195"
17,153,"1,016"
18,153,634
19,153,634
20,153,634
21,153,895
22,153,895
23,153,745
24,153,0
25,153,0
26,153,0
27,153,634
28,153,719
29,153,761
30,153,634
1,156,"1,256"
2,156,902
3,156,795
4,156,645
5,156,645
6,156,645
7,156,845
8,156,945
9,156,595
10,156,549
11,156,591
12,156,719
13,156,549
14,156,795
15,156,"1,256"
16,156,"1,195"
17,156,"1,016"
18,156,634
19,156,634
20,156,634
21,156,895
22,156,895
23,156,745
24,156,0
25,156,0
26,156,0
27,156,634
28,156,719
29,156,761
30,156,634
1,159,"1,256"
2,159,902
3,159,795
4,159,645
5,159,645
6,159,645
7,159,845
8,159,945
9,159,595
10,159,549
11,159,591
12,159,719
13,159,549
14,159,795
15,159,"1,256"
16,159,"1,195"
17,159,"1,016"
18,159,634
19,159,634
20,159,634
21,159,895
22,159,895
23,159,745
24,159,0
25,159,0
26,159,0
27,159,634
28,159,719
29,159,761
30,159,634
1,162,902
2,162,745
3,162,795
4,162,645
5,162,645
6,162,645
7,162,845
8,162,945
9,162,595
10,162,549
11,162,591
12,162,719
13,162,549
14,162,795
15,162,"1,256"
16,162,"1,195"
17,162,"1,016"
18,162,634
19,162,634
20,162,634
21,162,895
22,162,895
23,162,745
24,162,0
25,162,0
26,162,0
27,162,634
28,162,719
29,162,761
30,162,634
1,165,902
2,165,745
3,165,795
4,165,645
5,165,645
6,165,645
7,165,845
8,165,945
9,165,595
10,165,549
11,165,591
12,165,719
13,165,549
14,165,795
15,165,"1,256"
16,165,"1,195"
17,165,"1,016"
18,165,634
19,165,634
20,165,634
21,165,895
22,165,895
23,165,745
24,165,0
25,165,0
26,165,0
27,165,634
28,165,719
29,165,761
30,165,634
1,168,845
2,168,645
3,168,795
4,168,645
5,168,645
6,168,645
7,168,845
8,168,945
9,168,595
10,168,549
11,168,591
12,168,719
13,168,549
14,168,795
15,168,"1,145"
16,168,"1,195"
