Day,Date,Channel,Rosewood Sand Hill,Garden Court Hotel,Nobu Hotel Epiphany Palo Alto,Stanford Park Hotel,Westin Palo Alto,Pullman San Francisco Bay
Thu,9/26/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,9/26/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,9/27/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,9/27/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,9/28/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,9/28/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,9/29/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,9/29/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,9/30/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,9/30/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,10/1/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,10/1/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,10/2/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,10/2/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,10/3/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,10/3/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,10/4/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,10/4/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,10/5/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,10/5/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,10/6/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,10/6/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,10/7/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,10/7/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,10/8/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,10/8/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,10/9/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,10/9/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,10/10/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,10/10/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,10/11/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,10/11/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,10/12/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,10/12/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,10/13/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,10/13/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,10/14/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,10/14/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,10/15/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,10/15/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,10/16/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,10/16/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,10/17/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,10/17/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,10/18/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,10/18/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,10/19/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,10/19/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,10/20/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,10/20/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,10/21/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,10/21/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,10/22/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,10/22/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,10/23/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,10/23/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,10/24/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,10/24/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,10/25/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,10/25/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,10/26/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,10/26/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,10/27/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,10/27/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,10/28/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,10/28/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,10/29/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,10/29/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,10/30/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,10/30/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,10/31/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,10/31/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,11/1/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,11/1/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,11/2/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,11/2/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,11/3/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,11/3/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,11/4/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,11/4/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,11/5/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,11/5/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,11/6/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,11/6/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,11/7/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,11/7/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,11/8/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,11/8/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,11/9/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,11/9/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,11/10/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,11/10/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,11/11/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,11/11/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,11/12/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,11/12/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,11/13/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,11/13/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,11/14/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,11/14/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,11/15/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,11/15/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,11/16/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,11/16/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,11/17/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,11/17/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,11/18/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,11/18/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,11/19/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,11/19/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,11/20/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,11/20/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,11/21/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,11/21/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,11/22/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,11/22/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,11/23/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,11/23/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,11/24/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,11/24/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,11/25/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,11/25/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,11/26/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,11/26/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,11/27/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,11/27/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,11/28/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,11/28/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,11/29/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,11/29/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,11/30/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,11/30/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,12/1/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,12/1/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,12/2/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,12/2/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,12/3/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,12/3/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,12/4/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,12/4/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,12/5/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,12/5/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,12/6/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,12/6/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,12/7/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,12/7/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,12/8/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,12/8/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,12/9/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,12/9/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,12/10/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,12/10/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,12/11/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,12/11/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,12/12/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,12/12/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,12/13/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,12/13/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,12/14/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,12/14/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,12/15/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,12/15/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,12/16/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,12/16/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,12/17/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,12/17/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,12/18/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,12/18/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,12/19/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,12/19/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,12/20/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,12/20/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,12/21/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,12/21/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,12/22/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,12/22/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,12/23/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,12/23/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,12/24/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,12/24/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,12/25/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,12/25/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,12/26/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,12/26/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,12/27/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,12/27/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,12/28/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,12/28/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,12/29/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,12/29/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,12/30/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,12/30/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,12/31/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,12/31/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,1/1/2020,Brand.com,No data,No data,No data,No data,No data,No data
Wed,1/1/2020,Booking.com,No data,No data,No data,No data,No data,No data
Thu,1/2/2020,Brand.com,No data,No data,No data,No data,No data,No data
Thu,1/2/2020,Booking.com,No data,No data,No data,No data,No data,No data
Fri,1/3/2020,Brand.com,No data,No data,No data,No data,No data,No data
Fri,1/3/2020,Booking.com,No data,No data,No data,No data,No data,No data
Sat,1/4/2020,Brand.com,No data,No data,No data,No data,No data,No data
Sat,1/4/2020,Booking.com,No data,No data,No data,No data,No data,No data
Sun,1/5/2020,Brand.com,No data,No data,No data,No data,No data,No data
Sun,1/5/2020,Booking.com,No data,No data,No data,No data,No data,No data
Mon,1/6/2020,Brand.com,No data,No data,No data,No data,No data,No data
Mon,1/6/2020,Booking.com,No data,No data,No data,No data,No data,No data
Tue,1/7/2020,Brand.com,No data,No data,No data,No data,No data,No data
Tue,1/7/2020,Booking.com,No data,No data,No data,No data,No data,No data
Wed,1/8/2020,Brand.com,No data,No data,No data,No data,No data,No data
Wed,1/8/2020,Booking.com,No data,No data,No data,No data,No data,No data
Thu,1/9/2020,Brand.com,No data,No data,No data,No data,No data,No data
Thu,1/9/2020,Booking.com,No data,No data,No data,No data,No data,No data
Fri,1/10/2020,Brand.com,No data,No data,No data,No data,No data,No data
Fri,1/10/2020,Booking.com,No data,No data,No data,No data,No data,No data
Sat,1/11/2020,Brand.com,No data,No data,No data,No data,No data,No data
Sat,1/11/2020,Booking.com,No data,No data,No data,No data,No data,No data
Sun,1/12/2020,Brand.com,No data,No data,No data,No data,No data,No data
Sun,1/12/2020,Booking.com,No data,No data,No data,No data,No data,No data
Mon,1/13/2020,Brand.com,No data,No data,No data,No data,No data,No data
Mon,1/13/2020,Booking.com,No data,No data,No data,No data,No data,No data
Tue,1/14/2020,Brand.com,No data,No data,No data,No data,No data,No data
Tue,1/14/2020,Booking.com,No data,No data,No data,No data,No data,No data
Wed,1/15/2020,Brand.com,No data,No data,No data,No data,No data,No data
Wed,1/15/2020,Booking.com,No data,No data,No data,No data,No data,No data
Thu,1/16/2020,Brand.com,No data,No data,No data,No data,No data,No data
Thu,1/16/2020,Booking.com,No data,No data,No data,No data,No data,No data
Fri,1/17/2020,Brand.com,No data,No data,No data,No data,No data,No data
Fri,1/17/2020,Booking.com,No data,No data,No data,No data,No data,No data
Sat,1/18/2020,Brand.com,No data,No data,No data,No data,No data,No data
Sat,1/18/2020,Booking.com,No data,No data,No data,No data,No data,No data
Sun,1/19/2020,Brand.com,No data,No data,No data,No data,No data,No data
Sun,1/19/2020,Booking.com,No data,No data,No data,No data,No data,No data
Mon,1/20/2020,Brand.com,No data,No data,No data,No data,No data,No data
Mon,1/20/2020,Booking.com,No data,No data,No data,No data,No data,No data
Tue,1/21/2020,Brand.com,No data,No data,No data,No data,No data,No data
Tue,1/21/2020,Booking.com,No data,No data,No data,No data,No data,No data
Wed,1/22/2020,Brand.com,No data,No data,No data,No data,No data,No data
Wed,1/22/2020,Booking.com,No data,No data,No data,No data,No data,No data
Thu,1/23/2020,Brand.com,No data,No data,No data,No data,No data,No data
Thu,1/23/2020,Booking.com,No data,No data,No data,No data,No data,No data
Fri,1/24/2020,Brand.com,No data,No data,No data,No data,No data,No data
Fri,1/24/2020,Booking.com,No data,No data,No data,No data,No data,No data
Sat,1/25/2020,Brand.com,No data,No data,No data,No data,No data,No data
Sat,1/25/2020,Booking.com,No data,No data,No data,No data,No data,No data
Sun,1/26/2020,Brand.com,No data,No data,No data,No data,No data,No data
Sun,1/26/2020,Booking.com,No data,No data,No data,No data,No data,No data
Mon,1/27/2020,Brand.com,No data,No data,No data,No data,No data,No data
Mon,1/27/2020,Booking.com,No data,No data,No data,No data,No data,No data
Tue,1/28/2020,Brand.com,No data,No data,No data,No data,No data,No data
Tue,1/28/2020,Booking.com,No data,No data,No data,No data,No data,No data
Wed,1/29/2020,Brand.com,No data,No data,No data,No data,No data,No data
Wed,1/29/2020,Booking.com,No data,No data,No data,No data,No data,No data
Thu,1/30/2020,Brand.com,No data,No data,No data,No data,No data,No data
Thu,1/30/2020,Booking.com,No data,No data,No data,No data,No data,No data
Fri,1/31/2020,Brand.com,No data,No data,No data,No data,No data,No data
Fri,1/31/2020,Booking.com,No data,No data,No data,No data,No data,No data
Sat,2/1/2020,Brand.com,No data,No data,No data,No data,No data,No data
Sat,2/1/2020,Booking.com,No data,No data,No data,No data,No data,No data
Sun,2/2/2020,Brand.com,No data,No data,No data,No data,No data,No data
Sun,2/2/2020,Booking.com,No data,No data,No data,No data,No data,No data
Mon,2/3/2020,Brand.com,No data,No data,No data,No data,No data,No data
Mon,2/3/2020,Booking.com,No data,No data,No data,No data,No data,No data
Tue,2/4/2020,Brand.com,No data,No data,No data,No data,No data,No data
Tue,2/4/2020,Booking.com,No data,No data,No data,No data,No data,No data
Wed,2/5/2020,Brand.com,No data,No data,No data,No data,No data,No data
Wed,2/5/2020,Booking.com,No data,No data,No data,No data,No data,No data
Thu,2/6/2020,Brand.com,No data,No data,No data,No data,No data,No data
Thu,2/6/2020,Booking.com,No data,No data,No data,No data,No data,No data
Fri,2/7/2020,Brand.com,No data,No data,No data,No data,No data,No data
Fri,2/7/2020,Booking.com,No data,No data,No data,No data,No data,No data
Sat,2/8/2020,Brand.com,No data,No data,No data,No data,No data,No data
Sat,2/8/2020,Booking.com,No data,No data,No data,No data,No data,No data
Sun,2/9/2020,Brand.com,No data,No data,No data,No data,No data,No data
Sun,2/9/2020,Booking.com,No data,No data,No data,No data,No data,No data
Mon,2/10/2020,Brand.com,No data,No data,No data,No data,No data,No data
Mon,2/10/2020,Booking.com,No data,No data,No data,No data,No data,No data
Tue,2/11/2020,Brand.com,No data,No data,No data,No data,No data,No data
Tue,2/11/2020,Booking.com,No data,No data,No data,No data,No data,No data
Wed,2/12/2020,Brand.com,No data,No data,No data,No data,No data,No data
Wed,2/12/2020,Booking.com,No data,No data,No data,No data,No data,No data
Thu,2/13/2020,Brand.com,No data,No data,No data,No data,No data,No data
Thu,2/13/2020,Booking.com,No data,No data,No data,No data,No data,No data
Fri,2/14/2020,Brand.com,No data,No data,No data,No data,No data,No data
Fri,2/14/2020,Booking.com,No data,No data,No data,No data,No data,No data
Sat,2/15/2020,Brand.com,No data,No data,No data,No data,No data,No data
Sat,2/15/2020,Booking.com,No data,No data,No data,No data,No data,No data
Sun,2/16/2020,Brand.com,No data,No data,No data,No data,No data,No data
Sun,2/16/2020,Booking.com,No data,No data,No data,No data,No data,No data
Mon,2/17/2020,Brand.com,No data,No data,No data,No data,No data,No data
Mon,2/17/2020,Booking.com,No data,No data,No data,No data,No data,No data
Tue,2/18/2020,Brand.com,No data,No data,No data,No data,No data,No data
Tue,2/18/2020,Booking.com,No data,No data,No data,No data,No data,No data
Wed,2/19/2020,Brand.com,No data,No data,No data,No data,No data,No data
Wed,2/19/2020,Booking.com,No data,No data,No data,No data,No data,No data
Thu,2/20/2020,Brand.com,No data,No data,No data,No data,No data,No data
Thu,2/20/2020,Booking.com,No data,No data,No data,No data,No data,No data
Fri,2/21/2020,Brand.com,No data,No data,No data,No data,No data,No data
Fri,2/21/2020,Booking.com,No data,No data,No data,No data,No data,No data
Sat,2/22/2020,Brand.com,No data,No data,No data,No data,No data,No data
Sat,2/22/2020,Booking.com,No data,No data,No data,No data,No data,No data
Sun,2/23/2020,Brand.com,No data,No data,No data,No data,No data,No data
Sun,2/23/2020,Booking.com,No data,No data,No data,No data,No data,No data
Mon,2/24/2020,Brand.com,No data,No data,No data,No data,No data,No data
Mon,2/24/2020,Booking.com,No data,No data,No data,No data,No data,No data
Tue,2/25/2020,Brand.com,No data,No data,No data,No data,No data,No data
Tue,2/25/2020,Booking.com,No data,No data,No data,No data,No data,No data
Wed,2/26/2020,Brand.com,No data,No data,No data,No data,No data,No data
Wed,2/26/2020,Booking.com,No data,No data,No data,No data,No data,No data
Thu,2/27/2020,Brand.com,No data,No data,No data,No data,No data,No data
Thu,2/27/2020,Booking.com,No data,No data,No data,No data,No data,No data
Fri,2/28/2020,Brand.com,No data,No data,No data,No data,No data,No data
Fri,2/28/2020,Booking.com,No data,No data,No data,No data,No data,No data
Sat,2/29/2020,Brand.com,No data,No data,No data,No data,No data,No data
Sat,2/29/2020,Booking.com,No data,No data,No data,No data,No data,No data
Sun,3/1/2020,Brand.com,No data,No data,No data,No data,No data,No data
Sun,3/1/2020,Booking.com,No data,No data,No data,No data,No data,No data
Mon,3/2/2020,Brand.com,No data,No data,No data,No data,No data,No data
Mon,3/2/2020,Booking.com,No data,No data,No data,No data,No data,No data
Tue,3/3/2020,Brand.com,No data,No data,No data,No data,No data,No data
Tue,3/3/2020,Booking.com,No data,No data,No data,No data,No data,No data
Wed,3/4/2020,Brand.com,No data,No data,No data,No data,No data,No data
Wed,3/4/2020,Booking.com,No data,No data,No data,No data,No data,No data
Thu,3/5/2020,Brand.com,No data,No data,No data,No data,No data,No data
Thu,3/5/2020,Booking.com,No data,No data,No data,No data,No data,No data
Fri,3/6/2020,Brand.com,No data,No data,No data,No data,No data,No data
Fri,3/6/2020,Booking.com,No data,No data,No data,No data,No data,No data
