Day,Date,Channel,Rosewood Sand Hill,Garden Court Hotel,Nobu Hotel Epiphany Palo Alto,Stanford Park Hotel,Westin Palo Alto,Pullman San Francisco Bay
Thu,4/25/2019,Brand.com,377,No data,Sold out,267,No data,194
Thu,4/25/2019,Booking.com,585,416,949,292,356,179
Fri,4/26/2019,Brand.com,437,No data,Sold out,261,No data,164
Fri,4/26/2019,Booking.com,545,382,932,286,302,164
Sat,4/27/2019,Brand.com,457,No data,736,394,No data,249
Sat,4/27/2019,Booking.com,605,522,982,419,495,256
Sun,4/28/2019,Brand.com,715,No data,782,541,No data,352
Sun,4/28/2019,Booking.com,665,709,"1,049",566,630,362
Mon,4/29/2019,Brand.com,775,No data,899,587,No data,425
Mon,4/29/2019,Booking.com,775,822,866,612,736,462
Tue,4/30/2019,Brand.com,"1,095",No data,849,557,No data,397
Tue,4/30/2019,Booking.com,Sold out,809,866,582,634,432
Wed,5/1/2019,Brand.com,"1,095",No data,682,434,No data,307
Wed,5/1/2019,Booking.com,Sold out,622,716,459,514,346
Thu,5/2/2019,Brand.com,"1,095",No data,532,311,No data,206
Thu,5/2/2019,Booking.com,Sold out,436,582,336,382,206
Fri,5/3/2019,Brand.com,805,No data,432,284,No data,172
Fri,5/3/2019,Booking.com,805,402,549,309,311,176
Sat,5/4/2019,Brand.com,865,No data,599,401,No data,277
Sat,5/4/2019,Booking.com,825,542,632,426,444,284
Sun,5/5/2019,Brand.com,805,No data,Sold out,534,No data,414
Sun,5/5/2019,Booking.com,755,Sold out,Sold out,559,576,416
Mon,5/6/2019,Brand.com,865,No data,Sold out,597,No data,528
Mon,5/6/2019,Booking.com,855,Sold out,Sold out,622,680,516
Tue,5/7/2019,Brand.com,775,No data,Sold out,567,No data,505
Tue,5/7/2019,Booking.com,785,Sold out,Sold out,592,581,452
Wed,5/8/2019,Brand.com,745,No data,Sold out,434,No data,379
Wed,5/8/2019,Booking.com,675,Sold out,Sold out,459,432,329
Thu,5/9/2019,Brand.com,685,No data,Sold out,311,No data,207
Thu,5/9/2019,Booking.com,585,436,Sold out,336,291,185
Fri,5/10/2019,Brand.com,655,No data,389,287,No data,155
Fri,5/10/2019,Booking.com,575,382,609,312,280,155
Sat,5/11/2019,Brand.com,685,No data,536,404,No data,249
Sat,5/11/2019,Booking.com,635,522,609,429,400,256
Sun,5/12/2019,Brand.com,715,No data,716,531,No data,352
Sun,5/12/2019,Booking.com,705,709,832,556,566,362
Mon,5/13/2019,Brand.com,745,No data,832,594,No data,425
Mon,5/13/2019,Booking.com,765,822,999,619,782,432
Tue,5/14/2019,Brand.com,775,No data,816,564,No data,397
Tue,5/14/2019,Booking.com,765,789,932,589,629,402
Wed,5/15/2019,Brand.com,745,No data,616,437,No data,301
Wed,5/15/2019,Booking.com,662,602,932,462,488,309
Thu,5/16/2019,Brand.com,685,No data,399,311,No data,203
Thu,5/16/2019,Booking.com,552,416,932,336,342,195
Fri,5/17/2019,Brand.com,655,No data,316,284,No data,175
Fri,5/17/2019,Booking.com,478,382,949,309,309,158
Sat,5/18/2019,Brand.com,685,No data,Sold out,401,No data,332
Sat,5/18/2019,Booking.com,552,522,916,426,441,259
Sun,5/19/2019,Brand.com,715,No data,Sold out,531,No data,455
Sun,5/19/2019,Booking.com,622,709,916,556,603,352
Mon,5/20/2019,Brand.com,685,No data,Sold out,601,No data,560
Mon,5/20/2019,Booking.com,705,822,966,626,732,432
Tue,5/21/2019,Brand.com,685,No data,Sold out,574,No data,496
Tue,5/21/2019,Booking.com,705,789,999,599,572,392
Wed,5/22/2019,Brand.com,685,No data,532,444,No data,370
Wed,5/22/2019,Booking.com,622,602,999,469,457,278
Thu,5/23/2019,Brand.com,685,No data,366,314,No data,189
Thu,5/23/2019,Booking.com,538,416,999,339,336,173
Fri,5/24/2019,Brand.com,655,No data,316,281,No data,135
Fri,5/24/2019,Booking.com,465,382,999,306,257,118
Sat,5/25/2019,Brand.com,655,No data,416,371,No data,135
Sat,5/25/2019,Booking.com,478,522,999,396,274,124
Sun,5/26/2019,Brand.com,655,No data,549,487,No data,234
Sun,5/26/2019,Booking.com,542,709,949,512,395,218
Mon,5/27/2019,Brand.com,655,No data,666,547,No data,326
Mon,5/27/2019,Booking.com,605,822,949,572,518,297
Tue,5/28/2019,Brand.com,655,No data,699,544,No data,377
Tue,5/28/2019,Booking.com,655,789,949,569,586,341
Wed,5/29/2019,Brand.com,655,No data,616,431,No data,285
Wed,5/29/2019,Booking.com,655,602,999,456,505,268
Thu,5/30/2019,Brand.com,655,No data,482,314,No data,183
Thu,5/30/2019,Booking.com,655,416,999,339,404,175
Fri,5/31/2019,Brand.com,685,No data,432,294,No data,155
Fri,5/31/2019,Booking.com,675,382,849,319,353,155
Sat,6/1/2019,Brand.com,885,No data,549,407,No data,240
Sat,6/1/2019,Booking.com,Sold out,522,849,432,585,227
Sun,6/2/2019,Brand.com,945,No data,699,554,No data,372
Sun,6/2/2019,Booking.com,Sold out,709,966,579,806,362
Mon,6/3/2019,Brand.com,945,No data,799,624,No data,476
Mon,6/3/2019,Booking.com,Sold out,822,999,649,902,462
