Day;Date;Channel;"Rosewood Sand Hill";"Garden Court Hotel";"Nobu Hotel Epiphany Palo Alto";"Stanford Park Hotel";"Westin Palo Alto";"Pullman San Francisco Bay";los1;﻿Day;Date;Channel;"Rosewood Sand Hill";"Garden Court Hotel";"Nobu Hotel Epiphany Palo Alto";"Stanford Park Hotel";"Westin Palo Alto";"Pullman San Francisco Bay";los3
Tue;3/12/2019;Booking.com;"Sold out";"Sold out";LOS3;939;"Sold out";341;1;Tue;3/12/2019;Booking.com;"Sold out";"Sold out";999;732;"Sold out";290;3
Tue;3/12/2019;Expedia;"Sold out";866;"Sold out";909;1,309;341;1;Tue;3/12/2019;Brand.com;"Sold out";"No data";1,132;707;"No data";287;3
Tue;3/12/2019;Expedia;"Sold out";866;"Sold out";909;1,309;341;1;Tue;3/12/2019;Booking.com;"Sold out";"Sold out";999;732;"Sold out";290;3
Tue;3/12/2019;GDS;"Sold out";939;999;909;1,139;341;1;Tue;3/12/2019;Brand.com;"Sold out";"No data";1,132;707;"No data";287;3
Tue;3/12/2019;GDS;"Sold out";939;999;909;1,139;341;1;Tue;3/12/2019;Booking.com;"Sold out";"Sold out";999;732;"Sold out";290;3
Wed;3/13/2019;Brand.com;"Sold out";667;949;884;"No data";341;1;Wed;3/13/2019;Brand.com;"Sold out";"No data";616;487;"No data";215;3
Wed;3/13/2019;Brand.com;"Sold out";667;949;884;"No data";341;1;Wed;3/13/2019;Booking.com;"Sold out";602;609;512;"Sold out";221;3
Wed;3/13/2019;Booking.com;"Sold out";869;LOS2;939;"Sold out";341;1;Wed;3/13/2019;Brand.com;"Sold out";"No data";616;487;"No data";215;3
Wed;3/13/2019;Booking.com;"Sold out";869;LOS2;939;"Sold out";341;1;Wed;3/13/2019;Booking.com;"Sold out";602;609;512;"Sold out";221;3
Wed;3/13/2019;Expedia;"Sold out";866;"Sold out";909;"Sold out";341;1;Wed;3/13/2019;Brand.com;"Sold out";"No data";616;487;"No data";215;3
Wed;3/13/2019;Expedia;"Sold out";866;"Sold out";909;"Sold out";341;1;Wed;3/13/2019;Booking.com;"Sold out";602;609;512;"Sold out";221;3
Wed;3/13/2019;GDS;"Sold out";889;949;909;"Sold out";341;1;Wed;3/13/2019;Brand.com;"Sold out";"No data";616;487;"No data";215;3
Wed;3/13/2019;GDS;"Sold out";889;949;909;"Sold out";341;1;Wed;3/13/2019;Booking.com;"Sold out";602;609;512;"Sold out";221;3
Thu;3/14/2019;Brand.com;565;629;649;454;"No data";189;1;Thu;3/14/2019;Brand.com;377;"No data";306;261;"No data";143;3
Thu;3/14/2019;Brand.com;565;629;649;454;"No data";189;1;Thu;3/14/2019;Booking.com;498;416;479;286;266;143;3
Thu;3/14/2019;Booking.com;565;629;699;479;429;179;1;Thu;3/14/2019;Brand.com;377;"No data";306;261;"No data";143;3
Thu;3/14/2019;Booking.com;565;629;699;479;429;179;1;Thu;3/14/2019;Booking.com;498;416;479;286;266;143;3
Thu;3/14/2019;Expedia;565;535;699;479;689;179;1;Thu;3/14/2019;Brand.com;377;"No data";306;261;"No data";143;3
Thu;3/14/2019;Expedia;565;535;699;479;689;179;1;Thu;3/14/2019;Booking.com;498;416;479;286;266;143;3
