Day,Date,Channel,Rosewood Sand Hill,Garden Court Hotel,Nobu Hotel Epiphany Palo Alto,Stanford Park Hotel,Westin Palo Alto,Pullman San Francisco Bay
Mon,3/25/2019,Booking.com,Sold out,Sold out,799,609,725,284
Mon,3/25/2019,Expedia,Sold out,620,799,609,616,284
Mon,3/25/2019,GDS,Sold out,749,"1,149",609,616,284
Tue,3/26/2019,Brand.com,805,Sold out,LOS3,684,No data,559
Tue,3/26/2019,Booking.com,805,Sold out,LOS3,709,785,559
Tue,3/26/2019,Expedia,805,Sold out,Sold out,709,955,559
Tue,3/26/2019,GDS,840,Sold out,Sold out,709,667,559
Wed,3/27/2019,Brand.com,865,Sold out,LOS3,684,No data,404
Wed,3/27/2019,Booking.com,915,869,LOS3,709,812,377
Wed,3/27/2019,Expedia,915,Sold out,Sold out,709,785,377
Wed,3/27/2019,GDS,865,Sold out,Sold out,709,667,404
Thu,3/28/2019,Brand.com,655,649,749,464,No data,179
Thu,3/28/2019,Booking.com,655,649,799,489,719,179
Thu,3/28/2019,Expedia,655,535,799,489,859,179
Thu,3/28/2019,GDS,655,649,749,489,586,179
Fri,3/29/2019,Brand.com,465,309,309,154,No data,143
Fri,3/29/2019,Booking.com,465,309,409,179,365,143
Fri,3/29/2019,Expedia,465,263,409,179,356,143
Fri,3/29/2019,GDS,465,309,309,179,356,143
Sat,3/30/2019,Brand.com,465,309,309,154,No data,143
Sat,3/30/2019,Booking.com,465,309,359,179,263,143
Sat,3/30/2019,Expedia,465,263,359,179,263,143
Sat,3/30/2019,GDS,465,309,309,179,263,143
Sun,3/31/2019,Brand.com,505,529,499,394,No data,161
Sun,3/31/2019,Booking.com,505,529,699,419,314,161
Sun,3/31/2019,Expedia,505,450,699,419,314,161
Sun,3/31/2019,GDS,505,529,499,419,314,161
Mon,4/1/2019,Brand.com,715,583,699,554,No data,489
Mon,4/1/2019,Booking.com,715,729,849,579,662,529
Mon,4/1/2019,Expedia,715,620,849,579,645,489
Mon,4/1/2019,GDS,715,729,699,579,620,489
Tue,4/2/2019,Brand.com,865,695,LOS3,624,No data,LOS2
Tue,4/2/2019,Booking.com,865,869,LOS3,649,781,LOS2
Tue,4/2/2019,Expedia,865,739,Sold out,649,764,Sold out
Tue,4/2/2019,GDS,865,869,Sold out,649,764,Sold out
Wed,4/3/2019,Brand.com,895,695,LOS3,624,No data,440
Wed,4/3/2019,Booking.com,895,869,LOS3,649,939,296
Wed,4/3/2019,Expedia,945,739,Sold out,649,798,440
Wed,4/3/2019,GDS,895,869,Sold out,649,798,440
Thu,4/4/2019,Brand.com,465,503,599,484,No data,251
Thu,4/4/2019,Booking.com,465,629,749,509,654,224
Thu,4/4/2019,Expedia,465,535,749,509,649,251
Thu,4/4/2019,GDS,465,629,599,509,484,251
Fri,4/5/2019,Brand.com,465,247,249,214,No data,143
Fri,4/5/2019,Booking.com,465,309,409,239,212,125
Fri,4/5/2019,Expedia,465,263,409,239,220,143
Fri,4/5/2019,GDS,465,309,249,239,220,143
Sat,4/6/2019,Brand.com,505,247,309,154,No data,143
Sat,4/6/2019,Booking.com,505,309,329,179,220,125
Sat,4/6/2019,Expedia,505,263,329,179,220,143
Sat,4/6/2019,GDS,505,309,309,179,220,143
Sun,4/7/2019,Brand.com,655,423,599,454,No data,206
Sun,4/7/2019,Booking.com,685,529,749,479,382,206
Sun,4/7/2019,Expedia,655,450,749,479,382,206
Sun,4/7/2019,GDS,655,529,599,479,382,206
Mon,4/8/2019,Brand.com,865,583,999,554,No data,529
Mon,4/8/2019,Booking.com,945,729,799,579,973,529
Mon,4/8/2019,Expedia,865,620,799,579,"1,175",529
Mon,4/8/2019,GDS,865,729,999,579,829,529
Tue,4/9/2019,Brand.com,895,695,LOS3,664,No data,LOS2
Tue,4/9/2019,Booking.com,895,869,LOS3,689,747,LOS2
Tue,4/9/2019,Expedia,895,739,Sold out,689,747,Sold out
Tue,4/9/2019,GDS,895,869,Sold out,689,747,Sold out
Wed,4/10/2019,Brand.com,895,695,LOS3,584,No data,559
Wed,4/10/2019,Booking.com,895,869,LOS3,609,603,559
Wed,4/10/2019,Expedia,895,739,Sold out,609,603,559
Wed,4/10/2019,GDS,895,869,Sold out,609,603,559
Thu,4/11/2019,Brand.com,805,503,649,484,No data,323
Thu,4/11/2019,Booking.com,945,629,749,509,569,323
Thu,4/11/2019,Expedia,805,535,749,509,569,323
Thu,4/11/2019,GDS,840,629,649,509,569,323
Fri,4/12/2019,Brand.com,465,247,309,154,No data,143
Fri,4/12/2019,Booking.com,465,309,409,179,369,125
Fri,4/12/2019,Expedia,465,263,409,179,263,143
Fri,4/12/2019,GDS,465,309,309,179,263,143
Sat,4/13/2019,Brand.com,565,247,309,154,No data,143
Sat,4/13/2019,Booking.com,565,329,329,179,309,125
Sat,4/13/2019,Expedia,565,263,329,179,212,143
Sat,4/13/2019,GDS,565,309,309,179,212,143
Sun,4/14/2019,Brand.com,565,423,499,524,No data,206
Sun,4/14/2019,Booking.com,565,529,749,549,549,206
Sun,4/14/2019,Expedia,565,450,749,549,314,206
Sun,4/14/2019,GDS,565,529,499,549,314,206
Mon,4/15/2019,Brand.com,"1,095",583,949,864,No data,531
Mon,4/15/2019,Booking.com,"1,095",729,799,889,925,427
Mon,4/15/2019,Expedia,"1,095",620,799,889,Sold out,531
Mon,4/15/2019,GDS,"1,095",729,949,889,725,531
Tue,4/16/2019,Brand.com,"1,095",695,LOS3,584,No data,559
Tue,4/16/2019,Booking.com,"1,095",869,LOS3,609,713,449
Tue,4/16/2019,Expedia,"1,095",739,Sold out,609,688,559
Tue,4/16/2019,GDS,"1,095",869,Sold out,609,688,559
Wed,4/17/2019,Brand.com,895,695,LOS3,624,No data,413
Wed,4/17/2019,Booking.com,895,869,LOS3,649,603,377
Wed,4/17/2019,Expedia,895,739,Sold out,649,603,413
Wed,4/17/2019,GDS,895,869,Sold out,649,603,413
Thu,4/18/2019,Brand.com,655,503,649,484,No data,251
Thu,4/18/2019,Booking.com,655,629,749,509,373,251
Thu,4/18/2019,Expedia,655,535,749,509,373,251
Thu,4/18/2019,GDS,655,629,649,509,373,251
Fri,4/19/2019,Brand.com,465,247,249,154,No data,116
Fri,4/19/2019,Booking.com,465,309,409,179,169,116
Fri,4/19/2019,Expedia,465,263,409,179,169,116
Fri,4/19/2019,GDS,465,309,249,179,169,116
Sat,4/20/2019,Brand.com,465,247,249,154,No data,116
Sat,4/20/2019,Booking.com,465,309,329,179,212,116
Sat,4/20/2019,Expedia,465,263,329,179,186,116
Sat,4/20/2019,GDS,465,309,249,179,186,116
Sun,4/21/2019,Brand.com,465,423,399,304,No data,116
Sun,4/21/2019,Booking.com,465,529,749,329,289,116
Sun,4/21/2019,Expedia,465,450,749,329,246,116
Sun,4/21/2019,GDS,465,529,399,329,246,116
Mon,4/22/2019,Brand.com,745,583,799,454,No data,179
Mon,4/22/2019,Booking.com,745,729,799,479,699,179
Mon,4/22/2019,Expedia,795,620,799,479,699,179
Mon,4/22/2019,GDS,745,729,799,479,424,179
Tue,4/23/2019,Brand.com,685,695,LOS3,524,No data,350
Tue,4/23/2019,Booking.com,685,869,LOS3,549,785,296
Tue,4/23/2019,Expedia,685,739,Sold out,549,785,350
Tue,4/23/2019,GDS,685,869,Sold out,549,642,350
Wed,4/24/2019,Brand.com,685,695,LOS3,524,No data,395
Wed,4/24/2019,Booking.com,685,869,LOS3,549,785,296
Wed,4/24/2019,Expedia,685,739,Sold out,549,785,395
Wed,4/24/2019,GDS,685,869,Sold out,549,642,395
Thu,4/25/2019,Brand.com,655,503,699,474,No data,296
Thu,4/25/2019,Booking.com,655,629,899,499,560,251
Thu,4/25/2019,Expedia,655,535,899,499,552,296
Thu,4/25/2019,GDS,655,629,699,499,552,296
Fri,4/26/2019,Brand.com,595,247,Sold out,174,No data,143
Fri,4/26/2019,Booking.com,595,309,899,199,271,143
Fri,4/26/2019,Expedia,595,263,899,199,271,143
Fri,4/26/2019,GDS,595,309,Sold out,199,271,143
Sat,4/27/2019,Brand.com,535,247,459,154,No data,143
Sat,4/27/2019,Booking.com,505,309,899,179,237,143
Sat,4/27/2019,Expedia,535,263,899,179,237,143
Sat,4/27/2019,GDS,535,309,459,179,237,143
Sun,4/28/2019,Brand.com,535,423,499,454,No data,206
Sun,4/28/2019,Booking.com,535,529,749,479,399,206
Sun,4/28/2019,Expedia,535,450,749,479,399,206
Sun,4/28/2019,GDS,535,529,499,479,399,206
Mon,4/29/2019,Brand.com,745,583,949,574,No data,398
Mon,4/29/2019,Booking.com,775,729,849,599,875,398
Mon,4/29/2019,Expedia,745,620,849,599,849,398
Mon,4/29/2019,GDS,745,729,949,599,849,398
Tue,4/30/2019,Brand.com,685,695,LOS3,594,No data,439
Tue,4/30/2019,Booking.com,685,869,LOS3,619,955,439
Tue,4/30/2019,Expedia,685,739,Sold out,619,955,439
Tue,4/30/2019,GDS,685,869,Sold out,619,642,439
Wed,5/1/2019,Brand.com,865,695,LOS3,594,No data,439
Wed,5/1/2019,Booking.com,865,869,LOS3,619,642,529
Wed,5/1/2019,Expedia,865,869,Sold out,619,642,439
Wed,5/1/2019,GDS,865,869,Sold out,619,642,439
Thu,5/2/2019,Brand.com,Sold out,519,749,484,No data,296
Thu,5/2/2019,Booking.com,Sold out,649,849,509,543,296
Thu,5/2/2019,Expedia,Sold out,629,849,509,679,296
Thu,5/2/2019,GDS,Sold out,649,749,509,535,296
Fri,5/3/2019,Brand.com,775,263,399,224,No data,161
Fri,5/3/2019,Booking.com,885,329,449,249,305,161
Fri,5/3/2019,Expedia,775,309,449,249,297,161
Fri,5/3/2019,GDS,775,329,399,249,297,161
Sat,5/4/2019,Brand.com,895,263,399,224,No data,161
Sat,5/4/2019,Booking.com,945,329,449,249,416,161
Sat,5/4/2019,Expedia,895,309,449,249,246,161
Sat,5/4/2019,GDS,895,329,399,249,246,161
Sun,5/5/2019,Brand.com,535,423,499,404,No data,206
Sun,5/5/2019,Booking.com,535,529,749,429,331,206
Sun,5/5/2019,Expedia,535,529,749,429,331,206
Sun,5/5/2019,GDS,535,529,499,429,331,206
Mon,5/6/2019,Brand.com,895,749,899,574,No data,465
Mon,5/6/2019,Booking.com,895,749,699,599,756,465
Mon,5/6/2019,Expedia,945,749,699,599,747,465
Mon,5/6/2019,GDS,895,749,899,599,747,465
Tue,5/7/2019,Brand.com,775,Sold out,Sold out,664,No data,Sold out
Tue,5/7/2019,Booking.com,835,Sold out,Sold out,689,955,529
Tue,5/7/2019,Expedia,775,Sold out,Sold out,689,955,529
Tue,5/7/2019,GDS,775,Sold out,Sold out,689,642,Sold out
Wed,5/8/2019,Brand.com,835,889,Sold out,594,No data,LOS2
Wed,5/8/2019,Booking.com,835,Sold out,Sold out,619,755,LOS2
Wed,5/8/2019,Expedia,835,Sold out,Sold out,619,755,Sold out
Wed,5/8/2019,GDS,835,889,Sold out,619,642,Sold out
Thu,5/9/2019,Brand.com,685,519,Sold out,484,No data,350
Thu,5/9/2019,Booking.com,685,649,Sold out,509,458,269
Thu,5/9/2019,Expedia,685,629,Sold out,509,589,269
Thu,5/9/2019,GDS,685,649,Sold out,509,458,350
Fri,5/10/2019,Brand.com,505,247,309,224,No data,143
Fri,5/10/2019,Booking.com,505,309,999,249,195,143
Fri,5/10/2019,Expedia,505,309,999,249,195,143
Fri,5/10/2019,GDS,505,309,309,249,195,143
Sat,5/11/2019,Brand.com,565,247,309,224,No data,143
Sat,5/11/2019,Booking.com,565,309,329,249,220,143
Sat,5/11/2019,Expedia,565,309,329,249,220,143
Sat,5/11/2019,GDS,565,309,309,249,220,143
Sun,5/12/2019,Brand.com,655,423,549,414,No data,206
Sun,5/12/2019,Booking.com,655,529,499,439,450,206
Sun,5/12/2019,Expedia,655,529,499,439,424,206
Sun,5/12/2019,GDS,655,529,549,439,424,206
Mon,5/13/2019,Brand.com,685,583,749,574,No data,398
Mon,5/13/2019,Booking.com,685,729,999,599,855,398
Mon,5/13/2019,Expedia,685,729,999,599,855,398
Mon,5/13/2019,GDS,685,729,749,599,557,398
Tue,5/14/2019,Brand.com,745,695,LOS3,604,No data,439
Tue,5/14/2019,Booking.com,775,869,LOS3,629,815,439
Tue,5/14/2019,Expedia,745,869,Sold out,629,815,439
Tue,5/14/2019,GDS,745,869,Sold out,629,642,439
Wed,5/15/2019,Brand.com,865,695,LOS3,604,No data,439
Wed,5/15/2019,Booking.com,835,869,LOS3,629,785,439
Wed,5/15/2019,Expedia,865,869,Sold out,629,805,439
Wed,5/15/2019,GDS,865,869,Sold out,629,642,439
Thu,5/16/2019,Brand.com,685,503,699,484,No data,296
Thu,5/16/2019,Booking.com,685,629,799,509,603,296
Thu,5/16/2019,Expedia,685,629,799,509,594,296
Thu,5/16/2019,GDS,685,629,699,509,594,296
Fri,5/17/2019,Brand.com,465,247,249,224,No data,143
Fri,5/17/2019,Booking.com,465,309,999,249,289,143
Fri,5/17/2019,Expedia,465,309,999,249,263,143
Fri,5/17/2019,GDS,465,309,249,249,220,143
Sat,5/18/2019,Brand.com,465,247,249,224,No data,206
Sat,5/18/2019,Booking.com,505,309,999,249,269,179
Sat,5/18/2019,Expedia,465,309,999,249,203,206
Sat,5/18/2019,GDS,465,309,249,249,203,206
Sun,5/19/2019,Brand.com,465,423,449,404,No data,206
Sun,5/19/2019,Booking.com,465,529,849,429,429,179
Sun,5/19/2019,Expedia,465,529,849,429,365,206
Sun,5/19/2019,GDS,465,529,449,429,365,206
Mon,5/20/2019,Brand.com,685,583,Sold out,574,No data,531
Mon,5/20/2019,Booking.com,685,729,899,599,LOS2,398
Mon,5/20/2019,Expedia,685,729,899,599,557,531
Mon,5/20/2019,GDS,685,729,Sold out,599,557,531
Tue,5/21/2019,Brand.com,715,695,LOS3,614,No data,Sold out
Tue,5/21/2019,Booking.com,715,869,LOS3,639,925,439
Tue,5/21/2019,Expedia,715,869,Sold out,639,785,Sold out
Tue,5/21/2019,GDS,715,869,Sold out,639,616,Sold out
Wed,5/22/2019,Brand.com,715,695,LOS3,614,No data,Sold out
Wed,5/22/2019,Booking.com,715,869,LOS3,639,725,417
Wed,5/22/2019,Expedia,715,869,Sold out,639,725,Sold out
Wed,5/22/2019,GDS,715,869,Sold out,639,616,Sold out
Thu,5/23/2019,Brand.com,685,503,599,494,No data,296
Thu,5/23/2019,Booking.com,685,629,999,519,484,269
Thu,5/23/2019,Expedia,685,629,999,519,569,296
Thu,5/23/2019,GDS,685,629,599,519,484,296
Fri,5/24/2019,Brand.com,465,247,249,224,No data,143
Fri,5/24/2019,Booking.com,465,309,999,249,271,125
Fri,5/24/2019,Expedia,465,309,999,249,271,143
Fri,5/24/2019,GDS,465,309,249,249,271,143
Sat,5/25/2019,Brand.com,465,247,249,224,No data,143
Sat,5/25/2019,Booking.com,465,309,999,249,254,125
Sat,5/25/2019,Expedia,465,309,999,249,254,143
Sat,5/25/2019,GDS,465,309,249,249,254,143
Sun,5/26/2019,Brand.com,465,423,449,394,No data,143
Sun,5/26/2019,Booking.com,465,529,999,419,246,125
Sun,5/26/2019,Expedia,465,529,999,419,246,143
Sun,5/26/2019,GDS,465,529,449,419,246,143
Mon,5/27/2019,Brand.com,505,583,549,494,No data,143
Mon,5/27/2019,Booking.com,505,729,999,519,322,143
Mon,5/27/2019,Expedia,505,729,999,519,322,143
Mon,5/27/2019,GDS,505,729,549,519,322,143
Tue,5/28/2019,Brand.com,655,695,LOS3,574,No data,417
Tue,5/28/2019,Booking.com,655,869,LOS3,599,616,370
Tue,5/28/2019,Expedia,655,869,Sold out,599,616,417
Tue,5/28/2019,GDS,655,869,Sold out,599,616,417
Wed,5/29/2019,Brand.com,655,695,LOS3,574,No data,417
Wed,5/29/2019,Booking.com,655,869,LOS3,599,616,370
Wed,5/29/2019,Expedia,655,869,Sold out,599,616,417
Wed,5/29/2019,GDS,655,869,Sold out,599,616,417
Thu,5/30/2019,Brand.com,655,503,649,484,No data,296
Thu,5/30/2019,Booking.com,655,629,999,509,526,269
Thu,5/30/2019,Expedia,655,629,999,509,609,296
Thu,5/30/2019,GDS,655,629,649,509,518,296
Fri,5/31/2019,Brand.com,655,247,399,234,No data,143
Fri,5/31/2019,Booking.com,655,309,999,259,373,143
Fri,5/31/2019,Expedia,655,309,999,259,373,143
Fri,5/31/2019,GDS,655,309,399,259,373,143
Sat,6/1/2019,Brand.com,655,247,399,224,No data,143
Sat,6/1/2019,Booking.com,655,309,999,249,314,143
Sat,6/1/2019,Expedia,655,309,999,249,322,143
Sat,6/1/2019,GDS,655,309,399,249,322,143
Sun,6/2/2019,Brand.com,715,423,499,424,No data,206
Sun,6/2/2019,Booking.com,715,529,549,449,373,206
Sun,6/2/2019,Expedia,715,529,549,449,339,206
Sun,6/2/2019,GDS,715,529,499,449,339,206
Mon,6/3/2019,Brand.com,"1,095",583,749,574,No data,370
Mon,6/3/2019,Booking.com,Sold out,729,999,599,855,313
Mon,6/3/2019,Expedia,Sold out,729,999,599,855,370
Mon,6/3/2019,GDS,"1,095",729,749,599,582,370
Tue,6/4/2019,Brand.com,"1,035",869,LOS3,704,No data,LOS3
Tue,6/4/2019,Booking.com,Sold out,869,LOS3,729,925,LOS3
Tue,6/4/2019,Expedia,Sold out,869,Sold out,729,925,Sold out
Tue,6/4/2019,GDS,"1,035",869,Sold out,729,642,Sold out
Wed,6/5/2019,Brand.com,805,869,Sold out,674,No data,529
Wed,6/5/2019,Booking.com,805,869,Sold out,699,616,529
Wed,6/5/2019,Expedia,No data,No data,No data,No data,No data,No data
Wed,6/5/2019,GDS,No data,No data,No data,No data,No data,No data
Thu,6/6/2019,Brand.com,685,629,649,454,No data,296
Thu,6/6/2019,Booking.com,685,629,999,479,518,296
Thu,6/6/2019,Expedia,No data,No data,No data,No data,No data,No data
Thu,6/6/2019,GDS,No data,No data,No data,No data,No data,No data
Fri,6/7/2019,Brand.com,535,247,249,234,No data,251
Fri,6/7/2019,Booking.com,535,309,999,259,305,251
Fri,6/7/2019,Expedia,No data,No data,No data,No data,No data,No data
Fri,6/7/2019,GDS,No data,No data,No data,No data,No data,No data
Sat,6/8/2019,Brand.com,535,247,249,224,No data,251
Sat,6/8/2019,Booking.com,535,309,999,249,246,251
Sat,6/8/2019,Expedia,No data,No data,No data,No data,No data,No data
Sat,6/8/2019,GDS,No data,No data,No data,No data,No data,No data
Sun,6/9/2019,Brand.com,485,423,449,424,No data,251
Sun,6/9/2019,Booking.com,485,529,999,449,365,251
Sun,6/9/2019,Expedia,No data,No data,No data,No data,No data,No data
Sun,6/9/2019,GDS,No data,No data,No data,No data,No data,No data
Mon,6/10/2019,Brand.com,775,583,799,574,No data,398
Mon,6/10/2019,Booking.com,775,729,999,599,484,398
Mon,6/10/2019,Expedia,No data,No data,No data,No data,No data,No data
Mon,6/10/2019,GDS,No data,No data,No data,No data,No data,No data
Tue,6/11/2019,Brand.com,895,695,Sold out,624,No data,439
Tue,6/11/2019,Booking.com,895,869,Sold out,649,594,439
Tue,6/11/2019,Expedia,No data,No data,No data,No data,No data,No data
Tue,6/11/2019,GDS,No data,No data,No data,No data,No data,No data
Wed,6/12/2019,Brand.com,895,695,Sold out,604,No data,489
Wed,6/12/2019,Booking.com,895,869,Sold out,629,755,489
Wed,6/12/2019,Expedia,No data,No data,No data,No data,No data,No data
Wed,6/12/2019,GDS,No data,No data,No data,No data,No data,No data
Thu,6/13/2019,Brand.com,Sold out,Sold out,Sold out,484,No data,296
Thu,6/13/2019,Booking.com,Sold out,Sold out,999,509,689,296
Thu,6/13/2019,Expedia,No data,No data,No data,No data,No data,No data
Thu,6/13/2019,GDS,No data,No data,No data,No data,No data,No data
Fri,6/14/2019,Brand.com,Sold out,Sold out,Sold out,Sold out,No data,143
Fri,6/14/2019,Booking.com,Sold out,Sold out,999,Sold out,603,143
Fri,6/14/2019,Expedia,No data,No data,No data,No data,No data,No data
Fri,6/14/2019,GDS,No data,No data,No data,No data,No data,No data
Sat,6/15/2019,Brand.com,Sold out,Sold out,Sold out,Sold out,No data,143
Sat,6/15/2019,Booking.com,Sold out,Sold out,999,Sold out,603,143
Sat,6/15/2019,Expedia,No data,No data,No data,No data,No data,No data
Sat,6/15/2019,GDS,No data,No data,No data,No data,No data,No data
Sun,6/16/2019,Brand.com,Sold out,Sold out,Sold out,524,No data,206
Sun,6/16/2019,Booking.com,Sold out,Sold out,999,549,Sold out,206
Sun,6/16/2019,Expedia,No data,No data,No data,No data,No data,No data
Sun,6/16/2019,GDS,No data,No data,No data,No data,No data,No data
Mon,6/17/2019,Brand.com,655,583,699,624,No data,417
Mon,6/17/2019,Booking.com,655,729,999,649,569,417
Mon,6/17/2019,Expedia,No data,No data,No data,No data,No data,No data
Mon,6/17/2019,GDS,No data,No data,No data,No data,No data,No data
Tue,6/18/2019,Brand.com,685,695,Sold out,654,No data,439
Tue,6/18/2019,Booking.com,685,869,Sold out,679,616,439
Tue,6/18/2019,Expedia,No data,No data,No data,No data,No data,No data
Tue,6/18/2019,GDS,No data,No data,No data,No data,No data,No data
Wed,6/19/2019,Brand.com,685,695,Sold out,614,No data,439
Wed,6/19/2019,Booking.com,685,869,Sold out,639,925,439
Wed,6/19/2019,Expedia,No data,No data,No data,No data,No data,No data
Wed,6/19/2019,GDS,No data,No data,No data,No data,No data,No data
Thu,6/20/2019,Brand.com,685,503,699,474,No data,296
Thu,6/20/2019,Booking.com,685,629,Sold out,499,416,296
Thu,6/20/2019,Expedia,No data,No data,No data,No data,No data,No data
Thu,6/20/2019,GDS,No data,No data,No data,No data,No data,No data
Fri,6/21/2019,Brand.com,625,247,329,264,No data,224
Fri,6/21/2019,Booking.com,625,309,Sold out,289,409,224
Fri,6/21/2019,Expedia,No data,No data,No data,No data,No data,No data
Fri,6/21/2019,GDS,No data,No data,No data,No data,No data,No data
Sat,6/22/2019,Brand.com,895,247,359,314,No data,224
Sat,6/22/2019,Booking.com,895,309,Sold out,339,449,224
Sat,6/22/2019,Expedia,No data,No data,No data,No data,No data,No data
Sat,6/22/2019,GDS,No data,No data,No data,No data,No data,No data
Sun,6/23/2019,Brand.com,655,423,449,484,No data,224
Sun,6/23/2019,Booking.com,655,529,Sold out,509,611,224
Sun,6/23/2019,Expedia,No data,No data,No data,No data,No data,No data
Sun,6/23/2019,GDS,No data,No data,No data,No data,No data,No data
Mon,6/24/2019,Brand.com,685,583,699,594,No data,465
Mon,6/24/2019,Booking.com,685,729,Sold out,619,855,465
Mon,6/24/2019,Expedia,No data,No data,No data,No data,No data,No data
Mon,6/24/2019,GDS,No data,No data,No data,No data,No data,No data
Tue,6/25/2019,Brand.com,685,695,Sold out,724,No data,489
Tue,6/25/2019,Booking.com,685,869,Sold out,749,755,489
Tue,6/25/2019,Expedia,No data,No data,No data,No data,No data,No data
Tue,6/25/2019,GDS,No data,No data,No data,No data,No data,No data
Wed,6/26/2019,Brand.com,895,695,Sold out,604,No data,489
Wed,6/26/2019,Booking.com,895,869,Sold out,629,785,489
Wed,6/26/2019,Expedia,No data,No data,No data,No data,No data,No data
Wed,6/26/2019,GDS,No data,No data,No data,No data,No data,No data
Thu,6/27/2019,Brand.com,655,503,599,454,No data,296
