Day,Date,Channel,Rosewood Sand Hill,Garden Court Hotel,Nobu Hotel Epiphany Palo Alto,Stanford Park Hotel,Westin Palo Alto,Pullman San Francisco Bay
Thu,3/7/2019,Brand.com,655,629,649,549,No data,199
Thu,3/7/2019,Booking.com,705,629,749,549,605,179
Thu,3/7/2019,Expedia,Sold out,629,749,549,685,179
Thu,3/7/2019,GDS,655,629,649,549,455,199
Fri,3/8/2019,Brand.com,565,329,249,219,No data,129
Fri,3/8/2019,Booking.com,585,329,379,219,185,116
Fri,3/8/2019,Expedia,535,280,379,219,215,116
Fri,3/8/2019,GDS,535,329,249,219,215,129
Sat,3/9/2019,Brand.com,465,329,249,154,No data,123
Sat,3/9/2019,Booking.com,465,329,359,179,155,116
Sat,3/9/2019,Expedia,465,280,359,179,185,116
Sat,3/9/2019,GDS,465,329,249,179,185,123
Sun,3/10/2019,Brand.com,505,529,499,384,No data,151
Sun,3/10/2019,Booking.com,535,529,699,409,349,143
Sun,3/10/2019,Expedia,505,450,699,409,349,143
Sun,3/10/2019,GDS,505,529,499,409,349,151
Mon,3/11/2019,Brand.com,865,749,Sold out,574,No data,265
Mon,3/11/2019,Booking.com,795,749,999,639,Sold out,251
Mon,3/11/2019,Expedia,895,637,999,599,"1,069",251
Mon,3/11/2019,GDS,895,749,Sold out,599,"1,069",265
Tue,3/12/2019,Brand.com,Sold out,939,999,884,No data,341
Tue,3/12/2019,Booking.com,Sold out,Sold out,LOS3,939,Sold out,341
Tue,3/12/2019,Expedia,Sold out,866,Sold out,909,"1,309",341
Tue,3/12/2019,GDS,Sold out,939,999,909,"1,139",341
Wed,3/13/2019,Brand.com,Sold out,667,949,884,No data,341
Wed,3/13/2019,Booking.com,Sold out,869,LOS2,939,Sold out,341
Wed,3/13/2019,Expedia,Sold out,866,Sold out,909,Sold out,341
Wed,3/13/2019,GDS,Sold out,889,949,909,Sold out,341
Thu,3/14/2019,Brand.com,565,629,649,454,No data,189
Thu,3/14/2019,Booking.com,565,629,699,479,429,179
Thu,3/14/2019,Expedia,565,535,699,479,689,179
Thu,3/14/2019,GDS,565,629,649,479,489,189
Fri,3/15/2019,Brand.com,465,309,249,174,No data,132
Fri,3/15/2019,Booking.com,465,309,379,199,185,125
Fri,3/15/2019,Expedia,465,263,379,199,185,125
Fri,3/15/2019,GDS,465,309,249,199,185,132
Sat,3/16/2019,Brand.com,465,309,249,154,No data,132
Sat,3/16/2019,Booking.com,465,309,359,179,157,125
Sat,3/16/2019,Expedia,465,263,359,179,157,125
Sat,3/16/2019,GDS,465,309,249,179,157,132
Sun,3/17/2019,Brand.com,535,529,499,344,No data,218
Sun,3/17/2019,Booking.com,535,529,699,369,297,206
Sun,3/17/2019,Expedia,535,450,699,369,271,206
Sun,3/17/2019,GDS,535,529,499,369,271,218
Mon,3/18/2019,Brand.com,805,749,849,554,No data,398
Mon,3/18/2019,Booking.com,775,749,949,579,755,341
Mon,3/18/2019,Expedia,805,637,949,579,925,341
Mon,3/18/2019,GDS,840,749,849,579,616,398
Tue,3/19/2019,Brand.com,Sold out,889,LOS3,624,No data,398
Tue,3/19/2019,Booking.com,Sold out,889,LOS3,649,925,341
Tue,3/19/2019,Expedia,Sold out,756,Sold out,649,642,341
Tue,3/19/2019,GDS,Sold out,889,Sold out,649,642,398
Wed,3/20/2019,Brand.com,895,889,LOS3,624,No data,370
Wed,3/20/2019,Booking.com,915,889,LOS3,649,755,341
Wed,3/20/2019,Expedia,895,756,Sold out,649,755,341
Wed,3/20/2019,GDS,895,889,Sold out,649,616,370
Thu,3/21/2019,Brand.com,655,649,699,474,No data,206
Thu,3/21/2019,Booking.com,655,649,699,499,450,206
Thu,3/21/2019,Expedia,655,552,699,499,441,206
Thu,3/21/2019,GDS,655,649,699,499,441,206
Fri,3/22/2019,Brand.com,465,329,249,154,No data,116
Fri,3/22/2019,Booking.com,465,329,379,179,186,116
Fri,3/22/2019,Expedia,465,280,379,179,186,116
Fri,3/22/2019,GDS,465,329,249,179,186,116
Sat,3/23/2019,Brand.com,Sold out,309,399,154,No data,116
Sat,3/23/2019,Booking.com,Sold out,309,359,179,203,116
Sat,3/23/2019,Expedia,Sold out,263,359,179,203,116
Sat,3/23/2019,GDS,Sold out,309,399,179,203,116
Sun,3/24/2019,Brand.com,Sold out,549,Sold out,384,No data,143
Sun,3/24/2019,Booking.com,Sold out,549,Sold out,409,467,143
Sun,3/24/2019,Expedia,Sold out,450,Sold out,409,458,143
Sun,3/24/2019,GDS,Sold out,549,Sold out,409,458,143
Mon,3/25/2019,Brand.com,Sold out,749,"1,149",584,No data,284
